Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source,Keep
AFTERMATHS,1402,150,5.8710004365167495e-09,7.904569159076363e-09,1.2020967044092992e-06,116,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
AGAINST,1420,11372819,0.0004451321687561732,0.00035386629412322614,0.0004069120973988131,935175,2009,0,0,0,0,0,0,0,2,12of12inf,TRUE
AGGRAVATE,1469,1324,5.1821363852987845e-08,4.020290022918569e-08,1.7733107042274016e-06,1231,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
AGGRAVATED,1470,4588,1.7957433335159232e-07,1.6508052279092552e-07,5.155093356026851e-06,3759,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
AGGRAVATES,1471,160,6.262400465617866e-09,6.0255999997125195e-09,6.670957631545653e-07,151,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
AGGRAVATING,1472,569,2.2270661655853537e-08,1.4894395527555083e-08,1.2389215728866311e-06,421,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
AGGRAVATION,1474,788,3.084232229316799e-08,1.7905662407898423e-08,1.1642480738751451e-06,596,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
AGGRAVATIONS,1475,15,5.87100043651675e-10,2.149665993473673e-10,7.947143280108116e-08,14,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ALERTED,1757,3499,1.369508701824807e-07,1.6838470773814128e-07,5.7053064499257e-06,3117,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ALERTING,1758,46498,1.8199318553143722e-06,3.85495486017526e-06,2.7130778120076676e-05,44663,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ALIENATE,1790,21090,8.25462661374255e-07,3.954951668337706e-07,5.724156094181223e-06,12867,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ALIENATED,1791,23329,9.13097127889995e-07,4.605492250250468e-07,7.233129128931242e-06,12961,2009,0,0,0,0,0,0,0,5,12of12inf,TRUE
ALIENATES,1792,206,8.062840599483003e-09,4.651309980667483e-09,5.750020736166946e-07,170,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ALIENATING,1793,618,2.418852179844901e-08,1.7745663367584583e-08,1.5486490794568063e-06,388,2009,0,0,0,0,0,0,0,5,12of12inf,TRUE
ALIENATION,1794,49364,1.9321071036547524e-06,9.125344778262891e-07,9.685595345188488e-06,23382,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ALIENATIONS,1795,58,2.2701201687864766e-09,6.446000792222007e-10,1.8569374600220043e-07,49,2009,0,0,0,0,0,0,0,5,12of12inf,TRUE
ALLEGATION,1851,47523,1.8600503582972367e-06,1.3409380070138533e-06,2.4839356237320147e-05,30033,2009,0,0,2009,0,0,0,0,4,12of12inf,TRUE
ALLEGATIONS,1852,504469,1.974491812806112e-05,1.866757710385966e-05,7.942841670128178e-05,191786,2009,0,0,2009,0,0,0,0,4,12of12inf,TRUE
ALLEGE,1853,224339,8.78062911285154e-06,8.254678244401935e-06,4.9075738443653055e-05,100104,2009,0,0,2009,0,0,0,0,2,12of12inf,TRUE
ALLEGED,1854,1298581,5.082646411901571e-05,4.1740383771488773e-05,0.0001241191307240225,336763,2009,0,0,2009,0,0,0,0,2,12of12inf,TRUE
ALLEGEDLY,1855,248122,9.711495802062726e-06,9.473162364514763e-06,5.5896320509785455e-05,108494,2009,0,0,2009,0,0,0,0,4,12of12inf,TRUE
ALLEGES,1856,414004,1.620411776479787e-05,1.7994059990271655e-05,8.368866312737403e-05,146632,2009,0,0,2009,0,0,0,0,3,12of12inf,TRUE
ALLEGING,1859,568048,2.2233400373083112e-05,2.1474879855208156e-05,8.096554211589648e-05,218620,2009,0,0,2009,0,0,0,0,3,12of12inf,TRUE
ALMOST,1974,251268,9.834630251217937e-06,1.1710867147029588e-05,5.1676401110080234e-05,163631,0,0,2009,0,0,2009,0,0,2,12of12inf,TRUE
ALTERATION,2024,224913,8.803095474521945e-06,4.005079568008589e-06,2.589089320525176e-05,76605,0,0,2009,0,0,0,0,0,4,12of12inf,TRUE
ALTERATIONS,2025,336676,1.3177499619764754e-05,5.0098422211515575e-06,5.0115955849673294e-05,38885,0,0,2009,0,0,0,0,0,4,12of12inf,TRUE
AMBIGUITIES,2132,33711,1.3194486381027744e-06,6.351991565424132e-07,6.920515002912683e-06,23034,0,0,2009,0,0,0,0,0,5,12of12inf,TRUE
AMBIGUITY,2133,55456,2.1705480013831526e-06,8.310292204147016e-07,8.178355876322094e-06,31940,0,0,2009,0,0,0,0,0,5,12of12inf,TRUE
AMBIGUOUS,2134,21203,8.298854817030976e-07,4.4904681835500396e-07,6.055700600740007e-06,15734,0,0,2009,0,0,0,0,0,4,12of12inf,TRUE
ANNOY,2684,3112,1.218036890562675e-07,4.808731438422608e-08,1.343701924871423e-06,2406,2009,0,0,0,0,0,0,0,2,12of12inf,TRUE
ANNOYANCE,2685,8307,3.251360041742976e-07,1.218350012643958e-07,2.63899440612844e-06,4464,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ANNOYANCES,2686,90,3.52260026191005e-09,2.3015502785548284e-09,4.74472802982559e-07,79,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ANNOYED,2687,63,2.465820183337035e-09,8.175149999844357e-10,1.518430173013163e-07,49,2009,0,0,0,0,0,0,0,2,12of12inf,TRUE
ANNOYING,2688,831,3.252534241830279e-08,5.557197797480717e-08,3.0977855358256944e-06,704,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ANNOYS,2690,244,9.550160710067246e-09,3.884316667938092e-09,3.416731631692389e-07,232,2009,0,0,0,0,0,0,0,2,12of12inf,TRUE
ANNUL,2707,15473,6.056132650281577e-07,2.459356229683901e-07,5.430037619505939e-06,8938,2009,0,0,0,0,0,0,0,2,12of12inf,TRUE
ANNULLED,2709,16083,6.294886668033259e-07,2.577306179336579e-07,5.815881755796108e-06,9061,2009,0,0,0,0,0,0,0,2,12of12inf,TRUE
ANNULLING,2710,244,9.550160710067246e-09,7.241678001686548e-09,8.433986932217491e-07,182,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
